review_id,content,score,thumbs_up_count,at,app_version,rating_sentiment,sentiment,source_app,source_app_id,scrape_country,scrape_language
60a81871-b855-4aa4-b75a-c2a71f4bbb33,"setelah pindah ke hp baru, saya tidak bisa download jkn, kenapa ya ?",2,0,2026-03-14 14:13:16,4.7.0,negatif,negatif,Mobile JKN,app.bpjs.mobile,id,id
47cbb82f-0b47-4d80-af13-5e0a56282b5a,Kenapa aplikasi nya sulit digunakan padahal hp belum pernah di-root tapi disini tulisannya demi keamanan aplikasi tidak berjalan pada emulator atau handphone yang sudah di-root Tolong dong min perbarui aplikasi nya supaya mudah digunakan,3,8,2024-05-16 12:58:20,4.8.0,netral,negatif,Mobile JKN,app.bpjs.mobile,id,id
d78b0f46-3e66-4852-b245-71c37401ecb1,"Otp sms ga bisa, kalo gabisa lewat SMS kenapa ga di alihkan langsung ke WA. kalo ngga cari alternatif lain buat kirim otpnya, ribet.",1,2,2026-04-07 10:50:25,4.16.1,negatif,negatif,Mobile JKN,app.bpjs.mobile,id,id
1bd29095-61b4-4086-a0df-7660debfbbe8,"Ini kenapa ya sering banget tiba-tiba logout sendiri? Dari sistem nya kah atau bagaimana ya? Lumayan repot soalnya kalau lagi buru-buru lalu buka aplikasi ternyata logout dan harus login ulang. Tolong bantu diperbaiki, terimakasih",4,1,2026-03-31 22:20:56,4.16.0,positif,netral,Mobile JKN,app.bpjs.mobile,id,id
4ed8506a-d275-4d64-85fd-6a35f553ff8f,aku kasih bintang dua mau nambah anggota masyaalah sulit masak iya harus bolak balik kelur masuk aplikasi karena buat nya waktu berbeda pakein Kek kalau satu kk kalau muncul di dalam satu keluarga kn enak biar gk bolak balik kelur masuk aplikasi emang sih muncul tapi saat ingin ke puskesmas memakai BPJS ini kk bisa ketuk dalam satu kk ini harus keluar dulu ketik no kk anak yang mau periksa baru bisa,2,0,2026-05-08 23:48:36,4.14.0,negatif,negatif,Mobile JKN,app.bpjs.mobile,id,id
d99dfeed-385d-42bb-98f8-f1b9f1ef126e,alhamdulilah sangat membantu,5,0,2026-05-15 01:02:59,4.14.0,positif,positif,Mobile JKN,app.bpjs.mobile,id,id
c29ea205-5371-475f-b6a9-3d880dc18907,"Verifikasi no handphone ny susah sekali, jaringan hp bagus padahal, tapi kode otp ga ada terus via sms 😢",3,0,2025-03-20 08:38:31,4.12.0,netral,negatif,Mobile JKN,app.bpjs.mobile,id,id
e8d96441-e76f-4a58-b3ac-733e37ac83da,"Alhamdulillah,sekian lama nya GK bisa login banyak ini itu nya,, sekarang bisa login lagi",4,0,2025-09-11 10:45:06,4.13.1,positif,negatif,Mobile JKN,app.bpjs.mobile,id,id
405258ec-8c2e-4dfb-96cf-87b97d6fafff,"""Gagal terhubung ke server"" selalu...",2,0,2026-01-10 15:22:53,4.14.0,negatif,negatif,Mobile JKN,app.bpjs.mobile,id,id
9f983417-a259-4cc1-a657-273e3fcf5712,kenapa saya susah di buka,3,0,2025-11-06 00:19:45,4.14.0,netral,negatif,Mobile JKN,app.bpjs.mobile,id,id
a5c28f13-25e7-4f6f-a73b-c151b48fb04b,apk gajelas,1,0,2026-05-09 11:56:06,4.16.1,negatif,netral,Mobile JKN,app.bpjs.mobile,id,id
9e48b5ad-1f5f-4206-8fd1-4c6bc2507f45,"gmna mau daftar kode otp nya gk ada respon, dasar apk indo dana nya kebanyakan di korup sampe otp aja gk bisa di bikin bener",1,0,2026-04-14 11:11:38,4.16.1,negatif,negatif,Mobile JKN,app.bpjs.mobile,id,id
fd3c6671-a20d-4d52-9ed3-7d2543615ae1,mau daftar susah sekali kode Verifikasi gk dikirim kirim,1,0,2026-05-07 08:34:29,,negatif,negatif,Mobile JKN,app.bpjs.mobile,id,id
8867f27a-5267-40b9-a560-3a526cf96168,"apa iniiii??, mau minta kode verifikasi nggak di kirim kirimmm🫰🫰🫰",1,0,2026-04-21 09:26:09,4.16.1,negatif,negatif,Mobile JKN,app.bpjs.mobile,id,id
